"Nr","Company","Location_HQ","Region","USState","Country","Continent","Laid_Off","layoff_date","Percentage","Company_Size_before_Layoffs","Company_Size_after_layoffs","industry_clean","Stage","Money_Raised_in__mil","Year","latitude","longitude","industry_grouped","layoff_severity_bucket","pct_laid_off_bucket","layoff_month","layoff_quarter","year_month","calculated_pct_laid_off","company_stage_simplified","funding_bucket","is_large_layoff"
99,"Astra","Alameda","San Francisco Bay Area","California","USA","North America","40","2020-04-05","25","160","120","AEROSPACE","Unknown","100",2020,"37.6090291","-121.899142","Aerospace","Small","Medium (11–25%)","2020-04","Q2","2020-04","25.0","Unknown / Other","Medium ($50–200M)",0
1297,"Planet","San Francisco","San Francisco Bay Area","California","USA","North America","117","2023-08-01","10","1170","1053","AEROSPACE","Post-IPO","574",2023,"37.7792588","-122.4193286","Aerospace","Medium","Low (≤10%)","2023-08","Q3","2023-08","10.0","Public","High (>$200M)",0
1856,"Planet","San Francisco","San Francisco Bay Area","California","USA","North America","180","2024-06-26","17","1059","879","AEROSPACE","Post-IPO","574",2024,"37.7792588","-122.4193286","Aerospace","Medium","Medium (11–25%)","2024-06","Q2","2024-06","17.0","Public","High (>$200M)",0
2079,"Lilium","Munich","other","Bayern","Germany","Europe","1000","2024-12-23","100","1000","0","AEROSPACE","Post-IPO","1",2024,"48.1371079","11.5753822","Aerospace","Large","Very High (>50%)","2024-12","Q4","2024-12","100.0","Public","Low (<$50M)",1
702,"Kitty Hawk","Palo Alto","San Francisco Bay Area","California","USA","North America","100","2022-09-21","100","100","0","AEROSPACE","Unknown","1",2022,"37.4443293","-122.1598465","Aerospace","Medium","Very High (>50%)","2022-09","Q3","2022-09","100.0","Unknown / Other","Low (<$50M)",0
1280,"Sarcos","Salt Lake City","other","Utah","USA","North America","75","2023-07-17","25","300","225","AEROSPACE","Post-IPO","316",2023,"40.7596198","-111.886797","Aerospace","Medium","Medium (11–25%)","2023-07","Q3","2023-07","25.0","Public","High (>$200M)",0
1719,"True Anomaly","Denver","other","Colorado","USA","North America","30","2024-04-26","25","120","90","AEROSPACE","Series B","158",2024,"39.7392364","-104.984862","Aerospace","Small","Medium (11–25%)","2024-04","Q2","2024-04","25.0","Early Stage","Medium ($50–200M)",0
1857,"Planet","San Francisco","San Francisco Bay Area","California","USA","North America","180","2024-06-26","17","1059","879","AEROSPACE","Post-IPO","574",2024,"37.7792588","-122.4193286","Aerospace","Medium","Medium (11–25%)","2024-06","Q2","2024-06","17.0","Public","High (>$200M)",0
1818,"Satellogic","Montevideo","other","non","Uruquay","South America","70","2024-06-17","30","233","163","AEROSPACE","Post-IPO","424",2024,"-34.901112","-56.164532","Aerospace","Medium","High (26–50%)","2024-06","Q2","2024-06","30.0","Public","High (>$200M)",0
1775,"Satellogic","Montevideo","other","non","Uruquay","South America","34","2024-05-24","13","262","228","AEROSPACE","Post-IPO","424",2024,"-34.901112","-56.164532","Aerospace","Small","Medium (11–25%)","2024-05","Q2","2024-05","13.0","Public","High (>$200M)",0
2134,"Blue Origin","Seattle","Cascadia","Washington","USA","North America","1000","2025-02-13","10","10000","9000","AEROSPACE","Unknown","167",2025,"47.6038321","-122.330062","Aerospace","Large","Low (≤10%)","2025-02","Q1","2025-02","10.0","Unknown / Other","Medium ($50–200M)",1
2122,"Tabnine","Tel Aviv","other","non","Israel","Asia","15","2025-02-05","18","83","68","AI","Series B","57",2025,"32.0852997","34.7818064","AI / Artificial Intelligence","Small","Medium (11–25%)","2025-02","Q1","2025-02","18.1","Early Stage","Medium ($50–200M)",0
2167,"D-ID","Tel Aviv","other","non","Israel","Asia","22","2025-03-10","25","88","66","AI","Series B","48",2025,"32.0852997","34.7818064","AI / Artificial Intelligence","Small","Medium (11–25%)","2025-03","Q1","2025-03","25.0","Early Stage","Low (<$50M)",0
2195,"SambaNova","Palo Alto","San Francisco Bay Area","California","USA","North America","77","2025-04-25","15","513","436","AI","Series D","1100",2025,"37.4443293","-122.1598465","AI / Artificial Intelligence","Medium","Medium (11–25%)","2025-04","Q2","2025-04","15.0","Late Stage","High (>$200M)",0
1695,"Tome","San Francisco","San Francisco Bay Area","California","USA","North America","12","2024-04-16","20","60","48","AI","Series B","75",2024,"37.7792588","-122.4193286","AI / Artificial Intelligence","Small","Medium (11–25%)","2024-04","Q2","2024-04","20.0","Early Stage","Medium ($50–200M)",0
1696,"Tome","San Francisco","San Francisco Bay Area","California","USA","North America","12","2024-04-16","25","48","36","AI","Series B","75",2024,"37.7792588","-122.4193286","AI / Artificial Intelligence","Small","Medium (11–25%)","2024-04","Q2","2024-04","25.0","Early Stage","Medium ($50–200M)",0
2138,"Logically","Manchester","other","England","United Kingdom","Europe","40","2025-02-17","20","200","160","AI","Series A","37",2025,"53.4794892","-2.2451148","AI / Artificial Intelligence","Small","Medium (11–25%)","2025-02","Q1","2025-02","20.0","Early Stage","Low (<$50M)",0
1355,"Deepgram","San Francisco","San Francisco Bay Area","California","USA","North America","20","2023-10-11","20","100","80","AI","Series B","86",2023,"37.7792588","-122.4193286","AI / Artificial Intelligence","Small","Medium (11–25%)","2023-10","Q4","2023-10","20.0","Early Stage","Medium ($50–200M)",0
2123,"Hugging Face","New York City","other","New York","USA","North America","10","2025-02-05","4","250","240","AI","Series D","395",2025,"40.7127281","-74.0060152","AI / Artificial Intelligence","Small","Low (≤10%)","2025-02","Q1","2025-02","4.0","Late Stage","High (>$200M)",0
1705,"Stability AI","London","other","England","UK","Europe","20","2024-04-18","10","200","180","AI","Unknown","174",2024,"51.4893335","-0.144055085","AI / Artificial Intelligence","Small","Low (≤10%)","2024-04","Q2","2024-04","10.0","Unknown / Other","Medium ($50–200M)",0
1949,"Character.ai","Menlo Park","San Francisco Bay Area","California","USA","North America","6","2024-08-29","5","120","114","AI","Series A","150",2024,"37.4519671","-122.177992","AI / Artificial Intelligence","Small","Low (≤10%)","2024-08","Q3","2024-08","5.0","Early Stage","Medium ($50–200M)",0
1893,"Cohere","Toronto","other","Ontario","Canada","North America","20","2024-07-23","5","400","380","AI","Series D","935",2024,"43.6534817","-79.3839347","AI / Artificial Intelligence","Small","Low (≤10%)","2024-07","Q3","2024-07","5.0","Late Stage","High (>$200M)",0
2226,"Noogata","Tel Aviv","other","non","Israel","Asia","10","2025-05-25","100","10","0","AI","Series A","28",2025,"32.0852997","34.7818064","AI / Artificial Intelligence","Small","Very High (>50%)","2025-05","Q2","2025-05","100.0","Early Stage","Low (<$50M)",0
1376,"Dataminr","New York City","other","New York","USA","North America","150","2023-11-28","20","750","600","AI","Series F","1100",2023,"40.7127281","-74.0060152","AI / Artificial Intelligence","Medium","Medium (11–25%)","2023-11","Q4","2023-11","20.0","Other / Mid-Stage","High (>$200M)",0
1701,"Toshiba","Tokyo","Tokyo","Tokyo","Japan","Asia","5000","2024-04-17","10","50000","45000","APPLIANCES","Post-IPO","574",2024,"35.6821936","139.762221","Other / Rare","Large","Low (≤10%)","2024-04","Q2","2024-04","10.0","Public","High (>$200M)",1
870,"Bridgit","Waterloo","other","Ontario","Canada","North America","13","2022-12-06","13","100","87","CONSTRUCTION","Series B","36",2022,"43.4652699","-80.5222961","Construction","Small","Medium (11–25%)","2022-12","Q4","2022-12","13.0","Early Stage","Low (<$50M)",0
340,"Katerra","Menlo Park","San Francisco Bay Area","California","USA","North America","2434","2021-06-01","100","2434","0","CONSTRUCTION","Unknown","1600",2021,"37.4519671","-122.177992","Construction","Large","Very High (>50%)","2021-06","Q2","2021-06","100.0","Unknown / Other","High (>$200M)",1
757,"RenoRun","Montreal","other","Quebec","Canada","North America","210","2022-10-27","43","488","278","CONSTRUCTION","Series B","163",2022,"45.5031824","-73.5698065","Construction","Large","High (26–50%)","2022-10","Q4","2022-10","43.0","Early Stage","Medium ($50–200M)",1
623,"RenoRun","Montreal","other","Quebec","Canada","North America","70","2022-08-04","12","583","513","CONSTRUCTION","Series B","163",2022,"45.5031824","-73.5698065","Construction","Medium","Medium (11–25%)","2022-08","Q3","2022-08","12.0","Early Stage","Medium ($50–200M)",0
81,"Katerra","Menlo Park","San Francisco Bay Area","California","USA","North America","240","2020-04-02","3","8000","7760","CONSTRUCTION","Series D","1200",2020,"37.4519671","-122.177992","Construction","Large","Low (≤10%)","2020-04","Q2","2020-04","3.0","Late Stage","High (>$200M)",1
304,"Katerra","Menlo Park","San Francisco Bay Area","California","USA","North America","400","2020-06-29","7","5714","5314","CONSTRUCTION","Series E","1300",2020,"37.4519671","-122.177992","Construction","Large","Low (≤10%)","2020-06","Q2","2020-06","7.0","Late Stage","High (>$200M)",1
142,"Rhumbix","San Francisco","San Francisco Bay Area","California","USA","North America","16","2020-04-10","27","59","43","CONSTRUCTION","Series B","35",2020,"37.7792588","-122.4193286","Construction","Small","High (26–50%)","2020-04","Q2","2020-04","27.1","Early Stage","Low (<$50M)",0
436,"Yojak","Gurugram","other","Haryana","India","Asia","140","2022-06-02","50","280","140","CONSTRUCTION","Seed","3",2022,"28.4646148","77.0299194","Construction","Medium","High (26–50%)","2022-06","Q2","2022-06","50.0","Early Stage","Low (<$50M)",0
314,"Procore","Los Angeles","other","California","USA","North America","180","2020-07-28","9","2000","1820","CONSTRUCTION","Unknown","649",2020,"34.0536909","-118.242766","Construction","Medium","Low (≤10%)","2020-07","Q3","2020-07","9.0","Unknown / Other","High (>$200M)",0
2120,"Sonos","Santa Barbara","other","California","USA","North America","200","2025-02-05","12","1667","1467","CONSUMER","Post-IPO","455",2025,"34.4221319","-119.702667","Retail / Consumer","Medium","Medium (11–25%)","2025-02","Q1","2025-02","12.0","Public","High (>$200M)",0
1023,"Tilting Point","New York City","other","New York","USA","North America","60","2023-01-31","14","429","369","CONSUMER","Unknown","235",2023,"40.7127281","-74.0060152","Retail / Consumer","Medium","Medium (11–25%)","2023-01","Q1","2023-01","14.0","Unknown / Other","High (>$200M)",0
632,"Linktree","Melbourne","other","Victoria","Australia","Oceana","50","2022-08-09","17","294","244","CONSUMER","Unknown","165",2022,"-37.8142454","144.9631732","Retail / Consumer","Small","Medium (11–25%)","2022-08","Q3","2022-08","17.0","Unknown / Other","Medium ($50–200M)",0
319,"Mozilla","San Francisco","San Francisco Bay Area","California","USA","North America","250","2020-08-11","25","1000","750","CONSUMER","Unknown","2",2020,"37.7792588","-122.4193286","Retail / Consumer","Large","Medium (11–25%)","2020-08","Q3","2020-08","25.0","Unknown / Other","Low (<$50M)",1
1612,"Bumble","Austin","other","Texas","USA","North America","350","2024-02-27","30","1167","817","CONSUMER","Post-IPO","313",2024,"30.2711286","-97.7436995","Retail / Consumer","Large","High (26–50%)","2024-02","Q1","2024-02","30.0","Public","High (>$200M)",1
1171,"Koo","Bengaluru","other","Karnataka","India","Asia","78","2023-04-20","30","260","182","CONSUMER","Series B","50",2023,"12.98815675","77.62260004","Retail / Consumer","Medium","High (26–50%)","2023-04","Q2","2023-04","30.0","Early Stage","Medium ($50–200M)",0
2200,"Smashing","San Francisco","San Francisco Bay Area","California","USA","North America","7","2025-04-26","100","7","0","CONSUMER","Seed","3",2025,"37.7792588","-122.4193286","Retail / Consumer","Small","Very High (>50%)","2025-04","Q2","2025-04","100.0","Early Stage","Low (<$50M)",0
1417,"ShareChat","Bengaluru","other","Karnataka","India","Asia","200","2023-12-20","15","1333","1133","CONSUMER","Series H","1700",2023,"12.98815675","77.62260004","Retail / Consumer","Medium","Medium (11–25%)","2023-12","Q4","2023-12","15.0","Other / Mid-Stage","High (>$200M)",0
518,"Niantic","San Francisco","San Francisco Bay Area","California","USA","North America","85","2022-06-29","8","1063","978","CONSUMER","Series D","770",2022,"37.7792588","-122.4193286","Retail / Consumer","Medium","Low (≤10%)","2022-06","Q2","2022-06","8.0","Late Stage","High (>$200M)",0
988,"Google","Mountain View","San Francisco Bay Area","California","USA","North America","12000","2023-01-20","6","200000","188000","CONSUMER","Post-IPO","26",2023,"37.3893889","-122.0832101","Retail / Consumer","Large","Low (≤10%)","2023-01","Q1","2023-01","6.0","Public","Low (<$50M)",1
302,"Sonos","New York City","other","New York","USA","North America","174","2020-06-24","12","1450","1276","CONSUMER","Post-IPO","455",2020,"40.7127281","-74.0060152","Retail / Consumer","Medium","Medium (11–25%)","2020-06","Q2","2020-06","12.0","Public","High (>$200M)",0
402,"Skillz","San Francisco","San Francisco Bay Area","California","USA","North America","70","2022-05-20","10","700","630","CONSUMER","Post-IPO","287",2022,"37.7792588","-122.4193286","Retail / Consumer","Medium","Low (≤10%)","2022-05","Q2","2022-05","10.0","Public","High (>$200M)",0
2141,"SeatGeek","New York City","other","New York","USA","North America","150","2025-02-20","15","1000","850","CONSUMER","Series E","400",2025,"40.7127281","-74.0060152","Retail / Consumer","Medium","Medium (11–25%)","2025-02","Q1","2025-02","15.0","Late Stage","High (>$200M)",0
151,"VSCO","Oakland","San Francisco Bay Area","California","USA","North America","45","2020-04-14","35","129","84","CONSUMER","Series B","90",2020,"37.8044557","-122.271356","Retail / Consumer","Small","High (26–50%)","2020-04","Q2","2020-04","34.9","Early Stage","Medium ($50–200M)",0
153,"GoPro","San Mateo","San Francisco Bay Area","California","USA","North America","200","2020-04-15","20","1000","800","CONSUMER","Post-IPO","288",2020,"37.496904","-122.3330573","Retail / Consumer","Medium","Medium (11–25%)","2020-04","Q2","2020-04","20.0","Public","High (>$200M)",0
98,"Iflix","Kuala Lumpur","other","non","Malaysia","Asia","50","2020-04-04","12","417","367","CONSUMER","Unknown","348",2020,"3.1516964","101.6942371","Retail / Consumer","Small","Medium (11–25%)","2020-04","Q2","2020-04","12.0","Unknown / Other","High (>$200M)",0
1378,"Loco","Mumbai","other","Maharashtra","India","Asia","40","2023-11-30","36","111","71","CONSUMER","Acquired","52",2023,"19.0785451","72.878176","Retail / Consumer","Small","High (26–50%)","2023-11","Q4","2023-11","36.0","Other / Mid-Stage","Medium ($50–200M)",0
536,"Lightricks","Jerusalem","other","non","Israel","Asia","80","2022-07-04","12","667","587","CONSUMER","Series D","335",2022,"31.78847185","35.21879441","Retail / Consumer","Medium","Medium (11–25%)","2022-07","Q3","2022-07","12.0","Late Stage","High (>$200M)",0
1615,"Electronic Arts","Redwood City","San Francisco Bay Area","California","USA","North America","670","2024-02-28","5","13400","12730","CONSUMER","Post-IPO","2",2024,"37.4863239","-122.232523","Retail / Consumer","Large","Low (≤10%)","2024-02","Q1","2024-02","5.0","Public","Low (<$50M)",1
791,"Kabam","San Francisco","San Francisco Bay Area","California","USA","North America","35","2022-11-09","7","500","465","CONSUMER","Acquired","244",2022,"37.7792588","-122.4193286","Retail / Consumer","Small","Low (≤10%)","2022-11","Q4","2022-11","7.0","Other / Mid-Stage","High (>$200M)",0
1088,"Twitter","San Francisco","San Francisco Bay Area","California","USA","North America","200","2023-02-25","10","2000","1800","CONSUMER","Post-IPO","12900",2023,"37.7792588","-122.4193286","Retail / Consumer","Medium","Low (≤10%)","2023-02","Q1","2023-02","10.0","Public","High (>$200M)",0
2234,"Airtime","New York City","other","New York","USA","North America","25","2025-06-04","43","58","33","CONSUMER","Series B","33",2025,"40.7127281","-74.0060152","Retail / Consumer","Small","High (26–50%)","2025-06","Q2","2025-06","43.1","Early Stage","Low (<$50M)",0
272,"BookMyShow","Mumbai","other","Maharashtra","India","Asia","270","2020-05-28","18","1500","1230","CONSUMER","Unknown","224",2020,"19.0785451","72.878176","Retail / Consumer","Large","Medium (11–25%)","2020-05","Q2","2020-05","18.0","Unknown / Other","High (>$200M)",1
962,"ShareChat","Bengaluru","other","Karnataka","India","Asia","500","2023-01-16","20","2500","2000","CONSUMER","Series H","1700",2023,"12.98815675","77.62260004","Retail / Consumer","Large","Medium (11–25%)","2023-01","Q1","2023-01","20.0","Other / Mid-Stage","High (>$200M)",1
793,"Meta","Menlo Park","San Francisco Bay Area","California","USA","North America","11000","2022-11-09","13","84615","73615","CONSUMER","Post-IPO","26000",2022,"37.4519671","-122.177992","Retail / Consumer","Large","Medium (11–25%)","2022-11","Q4","2022-11","13.0","Public","High (>$200M)",1
1592,"Storytel","Stockholm","other","non","Sweden","Europe","80","2024-02-15","13","615","535","CONSUMER","Post-IPO","312",2024,"59.3251172","18.0710935","Retail / Consumer","Medium","Medium (11–25%)","2024-02","Q1","2024-02","13.0","Public","High (>$200M)",0
782,"Twitter","San Francisco","San Francisco Bay Area","California","USA","North America","3700","2022-11-04","50","7400","3700","CONSUMER","Post-IPO","12900",2022,"37.7792588","-122.4193286","Retail / Consumer","Large","High (26–50%)","2022-11","Q4","2022-11","50.0","Public","High (>$200M)",1
379,"Cameo","Chicago","other","Illinois","USA","North America","87","2022-05-04","25","348","261","CONSUMER","Unknown","165",2022,"41.8755616","-87.6244212","Retail / Consumer","Medium","Medium (11–25%)","2022-05","Q2","2022-05","25.0","Unknown / Other","Medium ($50–200M)",0
431,"Gather","Palo Alto","San Francisco Bay Area","California","USA","North America","30","2022-06-02","33","91","61","CONSUMER","Series B","76",2022,"37.4443293","-122.1598465","Retail / Consumer","Small","High (26–50%)","2022-06","Q2","2022-06","33.0","Early Stage","Medium ($50–200M)",0
624,"iRobot","Boston","other","Massachusetts","USA","North America","140","2022-08-05","10","1400","1260","CONSUMER","Acquired","30",2022,"42.3554334","-71.060511","Retail / Consumer","Medium","Low (≤10%)","2022-08","Q3","2022-08","10.0","Other / Mid-Stage","Low (<$50M)",0
433,"IRL","Berkeley","San Francisco Bay Area","California","USA","North America","25","2022-06-02","25","100","75","CONSUMER","Series C","197",2022,"37.8708393","-122.272863","Retail / Consumer","Small","Medium (11–25%)","2022-06","Q2","2022-06","25.0","Late Stage","Medium ($50–200M)",0
2243,"Bumble","Austin","other","Texas","USA","North America","240","2025-06-25","30","800","560","CONSUMER","Post-IPO","313",2025,"30.2711286","-97.7436995","Retail / Consumer","Large","High (26–50%)","2025-06","Q2","2025-06","30.0","Public","High (>$200M)",1
801,"Juul","San Francisco","San Francisco Bay Area","California","USA","North America","400","2022-11-10","30","1333","933","CONSUMER","Unknown","1500",2022,"37.7792588","-122.4193286","Retail / Consumer","Large","High (26–50%)","2022-11","Q4","2022-11","30.0","Unknown / Other","High (>$200M)",1
877,"Houzz","Palo Alto","San Francisco Bay Area","California","USA","North America","95","2022-12-07","8","1188","1093","CONSUMER","Series E","613",2022,"37.4443293","-122.1598465","Retail / Consumer","Medium","Low (≤10%)","2022-12","Q4","2022-12","8.0","Late Stage","High (>$200M)",0
2024,"iRobot","Boston","other","Massachusetts","USA","North America","105","2024-11-06","16","656","551","CONSUMER","Post-IPO","30",2024,"42.3554334","-71.060511","Retail / Consumer","Medium","Medium (11–25%)","2024-11","Q4","2024-11","16.0","Public","Low (<$50M)",0
904,"Thumbtack","San Francisco","San Francisco Bay Area","California","USA","North America","160","2022-12-13","14","1143","983","CONSUMER","Series I","698",2022,"37.7792588","-122.4193286","Retail / Consumer","Medium","Medium (11–25%)","2022-12","Q4","2022-12","14.0","Other / Mid-Stage","High (>$200M)",0
180,"Houzz","Palo Alto","San Francisco Bay Area","California","USA","North America","155","2020-04-21","10","1550","1395","CONSUMER","Series E","613",2020,"37.4443293","-122.1598465","Retail / Consumer","Medium","Low (≤10%)","2020-04","Q2","2020-04","10.0","Late Stage","High (>$200M)",0
945,"Parler","Nashville","other","Tennessee","USA","North America","60","2023-01-10","75","80","20","CONSUMER","Series B","36",2023,"36.1622767","-86.7742984","Retail / Consumer","Medium","Very High (>50%)","2023-01","Q1","2023-01","75.0","Early Stage","Low (<$50M)",0
1864,"Lightricks","Jerusalem","other","non","Israel","Asia","70","2024-07-01","12","583","513","CONSUMER","Series D","335",2024,"31.78847185","35.21879441","Retail / Consumer","Medium","Medium (11–25%)","2024-07","Q3","2024-07","12.0","Late Stage","High (>$200M)",0
3,"Panda Squad","San Francisco","San Francisco Bay Area","California","USA","North America","6","2020-03-13","75","8","2","CONSUMER","Seed","1",2020,"37.7792588","-122.4193286","Retail / Consumer","Small","Very High (>50%)","2020-03","Q1","2020-03","75.0","Early Stage","Low (<$50M)",0
620,"Jam City","Los Angeles","other","California","USA","North America","200","2022-08-04","17","1176","976","CONSUMER","Unknown","652",2022,"34.0536909","-118.242766","Retail / Consumer","Medium","Medium (11–25%)","2022-08","Q3","2022-08","17.0","Unknown / Other","High (>$200M)",0
186,"Magic Leap","Miami","other","Florida","USA","North America","1000","2020-04-22","50","2000","1000","CONSUMER","Series E","2600",2020,"25.7741728","-80.19362","Retail / Consumer","Large","High (26–50%)","2020-04","Q2","2020-04","50.0","Late Stage","High (>$200M)",1
438,"Superhuman","San Francisco","San Francisco Bay Area","California","USA","North America","23","2022-06-03","22","105","82","CONSUMER","Series C","108",2022,"37.7792588","-122.4193286","Retail / Consumer","Small","Medium (11–25%)","2022-06","Q2","2022-06","21.9","Late Stage","Medium ($50–200M)",0
54,"Thumbtack","San Francisco","San Francisco Bay Area","California","USA","North America","250","2020-03-30","30","833","583","CONSUMER","Series F","423",2020,"37.7792588","-122.4193286","Retail / Consumer","Large","High (26–50%)","2020-03","Q1","2020-03","30.0","Other / Mid-Stage","High (>$200M)",1
1138,"FanClash","Gurugram","other","Haryana","India","Asia","100","2023-03-30","75","133","33","CONSUMER","Series B","50",2023,"28.4646148","77.0299194","Retail / Consumer","Medium","Very High (>50%)","2023-03","Q1","2023-03","75.2","Early Stage","Medium ($50–200M)",0
1986,"Eaze","San Francisco","San Francisco Bay Area","California","USA","North America","500","2024-10-07","100","500","0","CONSUMER","Series D","202",2024,"37.7792588","-122.4193286","Retail / Consumer","Large","Very High (>50%)","2024-10","Q4","2024-10","100.0","Late Stage","High (>$200M)",1
195,"Jiobit","Chicago","other","Illinois","USA","North America","6","2020-04-24","21","29","23","CONSUMER","Unknown","12",2020,"41.8755616","-87.6244212","Retail / Consumer","Small","Medium (11–25%)","2020-04","Q2","2020-04","20.7","Unknown / Other","Low (<$50M)",0
851,"Wildlife Studios","Sao Paulo","other","State of São Paulo","Brazil","South America","300","2022-11-28","20","1500","1200","CONSUMER","Unknown","260",2022,"-23.5506507","-46.6333824","Retail / Consumer","Large","Medium (11–25%)","2022-11","Q4","2022-11","20.0","Unknown / Other","High (>$200M)",1
1561,"Snap","Los Angeles","other","California","USA","North America","500","2024-02-05","10","5000","4500","CONSUMER","Post-IPO","5",2024,"34.0536909","-118.242766","Retail / Consumer","Large","Low (≤10%)","2024-02","Q1","2024-02","10.0","Public","Low (<$50M)",1
227,"Juul","San Francisco","San Francisco Bay Area","California","USA","North America","900","2020-05-05","30","3000","2100","CONSUMER","Unknown","1500",2020,"37.7792588","-122.4193286","Retail / Consumer","Large","High (26–50%)","2020-05","Q2","2020-05","30.0","Unknown / Other","High (>$200M)",1
1135,"Electronic Arts","Redwood City","San Francisco Bay Area","California","USA","North America","780","2023-03-29","6","13000","12220","CONSUMER","Post-IPO","2",2023,"37.4863239","-122.232523","Retail / Consumer","Large","Low (≤10%)","2023-03","Q1","2023-03","6.0","Public","Low (<$50M)",1
1900,"Bungie","Seattle","Cascadia","Washington","USA","North America","220","2024-07-31","17","1294","1074","CONSUMER","Acquired","100",2024,"47.6038321","-122.330062","Retail / Consumer","Large","Medium (11–25%)","2024-07","Q3","2024-07","17.0","Other / Mid-Stage","Medium ($50–200M)",1
1028,"DraftKings","Boston","other","Massachusetts","USA","North America","140","2023-02-01","4","3500","3360","CONSUMER","Post-IPO","719",2023,"42.3554334","-71.060511","Retail / Consumer","Medium","Low (≤10%)","2023-02","Q1","2023-02","4.0","Public","High (>$200M)",0
1907,"Jam City","Los Angeles","other","California","USA","North America","85","2024-08-05","10","850","765","CONSUMER","Unknown","652",2024,"34.0536909","-118.242766","Retail / Consumer","Medium","Low (≤10%)","2024-08","Q3","2024-08","10.0","Unknown / Other","High (>$200M)",0
730,"Playdots","New York City","other","New York","USA","North America","65","2022-10-13","100","65","0","CONSUMER","Acquired","10",2022,"40.7127281","-74.0060152","Retail / Consumer","Medium","Very High (>50%)","2022-10","Q4","2022-10","100.0","Other / Mid-Stage","Low (<$50M)",0
1948,"Brave","San Francisco","San Francisco Bay Area","California","USA","North America","27","2024-08-28","14","193","166","CONSUMER","Series B","42",2024,"37.7792588","-122.4193286","Retail / Consumer","Small","Medium (11–25%)","2024-08","Q3","2024-08","14.0","Early Stage","Low (<$50M)",0
1912,"Eventbrite","San Francisco","San Francisco Bay Area","California","USA","North America","100","2024-08-07","11","909","809","CONSUMER","Post-IPO","557",2024,"37.7792588","-122.4193286","Retail / Consumer","Medium","Medium (11–25%)","2024-08","Q3","2024-08","11.0","Public","High (>$200M)",0
1923,"Sonos","Santa Barbara","other","California","USA","North America","100","2024-08-14","6","1667","1567","CONSUMER","Post-IPO","455",2024,"34.4221319","-119.702667","Retail / Consumer","Medium","Low (≤10%)","2024-08","Q3","2024-08","6.0","Public","High (>$200M)",0
1116,"Meta","Menlo Park","San Francisco Bay Area","California","USA","North America","10000","2023-03-14","13.6","73615","63615","CONSUMER","Post-IPO","26000",2023,"37.4519671","-122.177992","Retail / Consumer","Large","Medium (11–25%)","2023-03","Q1","2023-03","13.6","Public","High (>$200M)",1
1934,"GoPro","San Mateo","San Francisco Bay Area","California","USA","North America","139","2024-08-19","15","927","788","CONSUMER","Post-IPO","288",2024,"37.496904","-122.3330573","Retail / Consumer","Medium","Medium (11–25%)","2024-08","Q3","2024-08","15.0","Public","High (>$200M)",0
215,"Sandbox VR","San Francisco","San Francisco Bay Area","California","USA","North America","80","2020-05-01","80","100","20","CONSUMER","Series A","82",2020,"37.7792588","-122.4193286","Retail / Consumer","Medium","Very High (>50%)","2020-05","Q2","2020-05","80.0","Early Stage","Medium ($50–200M)",0
374,"Xiaohongshu","Shanghai","other","non","China","Asia","180","2022-04-21","9","2000","1820","CONSUMER","Series E","917",2022,"31.2312707","121.4700152","Retail / Consumer","Medium","Low (≤10%)","2022-04","Q2","2022-04","9.0","Late Stage","High (>$200M)",0
1526,"iRobot","Boston","other","Massachusetts","USA","North America","350","2024-01-29","31","1129","779","CONSUMER","Post-IPO","30",2024,"42.3554334","-71.060511","Retail / Consumer","Large","High (26–50%)","2024-01","Q1","2024-01","31.0","Public","Low (<$50M)",1
38,"HOOQ","Singapore","other","non","Singapore","Asia","250","2020-03-27","100","250","0","CONSUMER","Unknown","95",2020,"1.2899175","103.8519072","Retail / Consumer","Large","Very High (>50%)","2020-03","Q1","2020-03","100.0","Unknown / Other","Medium ($50–200M)",1
119,"Eventbrite","San Francisco","San Francisco Bay Area","California","USA","North America","500","2020-04-08","45","1111","611","CONSUMER","Post-IPO","332",2020,"37.7792588","-122.4193286","Retail / Consumer","Large","High (26–50%)","2020-04","Q2","2020-04","45.0","Public","High (>$200M)",1
1235,"Reddit","San Francisco","San Francisco Bay Area","California","USA","North America","90","2023-06-06","5","1800","1710","CONSUMER","Series F","1300",2023,"37.7792588","-122.4193286","Retail / Consumer","Medium","Low (≤10%)","2023-06","Q2","2023-06","5.0","Other / Mid-Stage","High (>$200M)",0
1234,"Linktree","Melbourne","other","Victoria","Australia","Oceana","60","2023-06-06","27","222","162","CONSUMER","Unknown","165",2023,"-37.8142454","144.9631732","Retail / Consumer","Medium","High (26–50%)","2023-06","Q2","2023-06","27.0","Unknown / Other","Medium ($50–200M)",0
120,"GetNinjas","Sao Paulo","other","State of São Paulo","Brazil","South America","11","2020-04-08","10","110","99","CONSUMER","Series B","16",2020,"-23.5506507","-46.6333824","Retail / Consumer","Small","Low (≤10%)","2020-04","Q2","2020-04","10.0","Early Stage","Low (<$50M)",0
1061,"Yahoo","Sunnyvale","San Francisco Bay Area","California","USA","North America","1600","2023-02-09","20","8000","6400","CONSUMER","Acquired","6",2023,"37.3688301","-122.036349","Retail / Consumer","Large","Medium (11–25%)","2023-02","Q1","2023-02","20.0","Other / Mid-Stage","Low (<$50M)",1
