"Nr","Company","Location_HQ","Region","USState","Country","Continent","Laid_Off","layoff_date","Percentage","Company_Size_before_Layoffs","Company_Size_after_layoffs","industry_clean","Stage","Money_Raised_in__mil","Year","latitude","longitude","industry_grouped","layoff_severity_bucket","pct_laid_off_bucket","layoff_month","layoff_quarter","year_month","calculated_pct_laid_off","company_stage_simplified","funding_bucket","is_large_layoff"
644,"Blend","San Francisco","San Francisco Bay Area","California","USA","North America","220","2022-08-15","12","1833","1613","FINANCE","Post-IPO","665",2022,"37.7792588","-122.4193286","Finance / Fintech","Large","Medium (11–25%)","2022-08","Q3","2022-08","12.0","Public","High (>$200M)",1
40,"Mogo","Vancouver","Cascadia","British Columbia","Canada","North America","78","2020-03-27","30","260","182","FINANCE","Post-IPO","201",2020,"49.2608724","-123.113952","Finance / Fintech","Medium","High (26–50%)","2020-03","Q1","2020-03","30.0","Public","High (>$200M)",0
1223,"Taxfix","Berlin","other","Berlin","Germany","Europe","120","2023-05-30","20","600","480","FINANCE","Series D","330",2023,"52.5170365","13.3888599","Finance / Fintech","Medium","Medium (11–25%)","2023-05","Q2","2023-05","20.0","Late Stage","High (>$200M)",0
1216,"Pie Insurance","Washington DC","other","District of Columbia","USA","North America","63","2023-05-18","14","450","387","FINANCE","Series D","621",2023,"38.8950368","-77.0365427","Finance / Fintech","Medium","Medium (11–25%)","2023-05","Q2","2023-05","14.0","Late Stage","High (>$200M)",0
1215,"Stash","New York City","other","New York","USA","North America","40","2023-05-17","10","400","360","FINANCE","Unknown","480",2023,"40.7127281","-74.0060152","Finance / Fintech","Small","Low (≤10%)","2023-05","Q2","2023-05","10.0","Unknown / Other","High (>$200M)",0
1214,"Zepz","London","other","England","UK","Europe","420","2023-05-16","26","1615","1195","FINANCE","Series E","700",2023,"51.4893335","-0.144055085","Finance / Fintech","Large","High (26–50%)","2023-05","Q2","2023-05","26.0","Late Stage","High (>$200M)",1
1213,"Lemonade","New York City","other","New York","USA","North America","45","2023-05-16","3","1500","1455","FINANCE","Post-IPO","481",2023,"40.7127281","-74.0060152","Finance / Fintech","Small","Low (≤10%)","2023-05","Q2","2023-05","3.0","Public","High (>$200M)",0
1211,"Happay","Bengaluru","other","Karnataka","India","Asia","160","2023-05-12","35","457","297","FINANCE","Acquired","21",2023,"12.98815675","77.62260004","Finance / Fintech","Medium","High (26–50%)","2023-05","Q2","2023-05","35.0","Other / Mid-Stage","Low (<$50M)",0
663,"Loop","Austin","other","Texas","USA","North America","15","2022-08-24","20","75","60","FINANCE","Series A","24",2022,"30.2711286","-97.7436995","Finance / Fintech","Small","Medium (11–25%)","2022-08","Q3","2022-08","20.0","Early Stage","Low (<$50M)",0
1197,"Earnix","Tel Aviv","other","non","Israel","Asia","30","2023-05-04","10","300","270","FINANCE","Unknown","100",2023,"32.0852997","34.7818064","Finance / Fintech","Small","Low (≤10%)","2023-05","Q2","2023-05","10.0","Unknown / Other","Medium ($50–200M)",0
665,"Argyle","New York City","other","New York","USA","North America","20","2022-08-26","7","286","266","FINANCE","Series B","78",2022,"40.7127281","-74.0060152","Finance / Fintech","Small","Low (≤10%)","2022-08","Q3","2022-08","7.0","Early Stage","Medium ($50–200M)",0
